Strategy,Total_Return,Annual_Return,Volatility,Sharpe_Ratio,Max_Drawdown,Win_Rate
Markowitz_MinVariance,0.4691005049648145,0.21664398653740458,0.09134058640129752,2.3718260969509943,-0.05204321165608694,0.5784313725490197
Markowitz_Sharpe,0.614456703333639,0.27659363815380766,0.12246202958777964,2.2586073339209842,-0.07112672515720764,0.6176470588235294
Momentum_4W,0.5164365126906161,0.22899763914902782,0.116699554243586,1.9622837519245615,-0.054932962506980765,0.6190476190476191
Equal_Weight,0.4323723628639895,0.20104125820048524,0.10474937112806303,1.9192598106837226,-0.08013116805818832,0.5980392156862745
ML_Strategy,0.41102537061048516,0.193955733678012,0.1311878272080333,1.4784583128314448,-0.11269652307790612,0.6039603960396039
Buy_Hold_SPY,0.4320512820512825,0.20090399839414363,0.1492587127911417,1.3460118651516806,-0.17126455633918336,0.5980392156862745
ML_Strategy_RiskMgmt,0.31978219964595933,0.153561547370328,0.12050819099375565,1.274283068262846,-0.10995996130530417,0.6039603960396039
