,ML_Strategy,ML_Strategy_RiskMgmt,Equal_Weight,Buy_Hold_SPY,Momentum_4W,Markowitz_Sharpe,Markowitz_MinVariance
2023-12-15,0.0055286484316389665,0.0055286484316389665,,,,,
2023-12-22,0.007511719072231293,0.007511719072231293,0.0024852353028445686,0.009204610828201787,0.003315683083351913,0.015888934820837183,0.00873013675678619
2023-12-29,-0.022999680195845973,-0.02619336569579278,0.007232952543874705,0.003504697561490522,0.00345265122987833,0.00459534329756766,0.004763784891550361
2024-01-05,0.015146597902021596,0.015146597902021596,-0.020318749845483628,-0.015547747785655597,-0.024307987231329948,-0.01129268246382097,-0.015324245772431704
2024-01-12,-0.022788851531232543,-0.022788851531232543,0.009842629923078649,0.0187211489143444,0.01779903374174315,0.005319824735209785,0.005676821682881315
2024-01-19,0.002714734720668646,0.002714734720668646,-0.0029575251437478738,0.012062599647562289,-0.005994469246192365,-0.0011529662053480242,-0.009029585380186493
2024-01-26,0.009994880517171522,0.009994880517171522,0.004280233929534782,0.010322741123064416,0.003890554137475188,0.0009269113885676541,-0.0009741348921213097
2024-02-02,0.016328739717905848,0.016328739717905848,0.010662293562990798,0.014238526086867376,0.01168795581035531,0.010229526666194309,0.013529613401711715
2024-02-09,-0.013034672626066245,-0.013034672626066245,0.00563927627809524,0.01385657934661677,0.009080811988875113,0.005461328733102547,-0.004798973864337935
2024-02-16,0.012873396731854779,0.012873396731854779,-0.004779327911364483,-0.0033719074221867373,-0.009937621465079222,-0.012476293632143387,-0.0066028424917149425
2024-02-23,0.012958451212544611,0.012958451212544611,0.013659043855329279,0.016696362435186574,0.01469771875937198,0.014302493450946906,0.013113491569621077
2024-03-01,0.001513876728744726,0.001513876728744726,0.01122716314501011,0.009845426799251822,0.009035296295556178,0.020696794465322535,0.015160834537258689
2024-03-08,-0.006732271485754061,-0.006732271485754061,0.010011097194411688,-0.002203373306034928,-0.002864293470203264,-0.01478871659074088,0.027329565995769804
2024-03-15,0.0178364425182743,0.0178364425182743,-0.011040392001295786,-0.003693426092394314,-0.0048135694511438985,-0.011154468863094643,-0.013167443378869428
2024-03-22,0.0024197117667651286,0.0024197117667651286,0.013527660740062553,0.02232116587882249,0.012238609226691363,0.017360848068204534,0.009394521364413004
2024-03-29,-0.011114840793119803,-0.011114840793119803,0.007451306905816147,0.0035686191746129303,0.011918650874501724,0.00621993564813242,0.016480714786571708
2024-04-05,-0.01179314041741678,-0.01179314041741678,-0.00021027674484657072,-0.008870705641692456,0.013685985288686699,0.02311768453718356,0.012973678833399664
2024-04-12,-0.010560518866318367,-0.010560518866318367,-0.008194473470678965,-0.014621067453657988,-0.0038271646910159975,0.003089978412081389,-0.002963552754546111
2024-04-19,0.023980754036787545,0.023980754036787545,-0.01967542562326246,-0.030713516687873144,-0.021839739401595448,-0.013192224691489942,-0.001609724845951844
2024-04-26,0.015367589216964263,0.015367589216964263,0.014498787940081592,0.026456094999596003,0.018748453374751912,-0.0006543587294571031,-0.005315203291847758
2024-05-03,0.011675414140518408,0.011675414140518408,0.009833751468864161,0.0059615157596506485,0.006880653171999188,-0.005433688421527199,-0.0012411440964852924
2024-05-10,0.019421902455508705,0.019421902455508705,0.012922283523836776,0.018678245222867762,0.015461667285024662,0.021496099060630998,0.01752516518970802
2024-05-17,1.369133507804062e-06,1.369133507804062e-06,0.02111033672354186,0.016530988403348434,0.02032541697637698,0.022368533450979066,0.019375023085818104
2024-05-24,-0.0119281403446402,-0.015809586199366787,-0.007723272970790096,-1.8887524789845678e-05,-0.0013002817164890672,-0.013376977666342084,-0.017299627750001222
2024-05-31,0.006501345740063021,0.006501345740063021,-0.012271889216315435,-0.003909791477787916,-0.01610357684543003,-0.00906711666712841,-0.00579199750877467
2024-06-07,0.027120108148225394,0.027120108148225394,0.00803514261780569,0.01259078066632524,0.017126247826654357,0.0038823072522970233,-0.0015299467582099231
2024-06-14,-0.0004947517737617186,-0.0004947517737617186,0.022032442036384478,0.01642291342858737,0.028708248845570918,0.029122846830509704,0.022545253703685014
2024-06-21,-0.0016086288782012764,-0.0016086288782012764,0.0007538052134693938,0.0031872950366631514,-0.0007488181787197827,-0.00048471101684521324,-0.0027190076053718957
2024-06-28,0.02717909885255654,0.026257877977272342,-0.005353254515144079,-0.0005325889331692091,-0.008654094085838985,-0.000820332050852223,-0.005331580290321775
2024-07-05,0.006391792000244153,0.006319498716646952,0.023036910035741757,0.01914666862665837,0.02107735647322184,0.03226089973743168,0.020329344605970072
2024-07-12,-0.039663461852155815,-0.039663461852155815,0.010378277934405468,0.009645896437328716,0.005604177849622934,0.0036977454532085216,0.011008750664352366
2024-07-19,-0.015536560085719566,-0.015536560085719566,-0.023204556282868105,-0.019643207914427085,-0.028507193011787203,-0.021342078171726873,-0.011558858509737983
2024-07-26,0.0017541043400415655,0.0017541043400415655,-0.009441020356953756,-0.008287946957139414,-0.013223497010271625,-0.013570062858988222,-0.004667526100517369
2024-08-02,-0.0061542622761617035,-0.005712855412175612,0.0016767033574004667,-0.021196091396664563,0.019013234708378714,0.0013182563863220458,0.01524738163420505
2024-08-09,0.035596996735947434,0.035596996735947434,-0.0018178425463490464,0.0001688872208669423,-0.007948689794947153,-0.0011787435253163404,-0.005750022476492579
2024-08-16,0.00901110853169239,0.00901110853169239,0.034420891108866904,0.04000075048312346,0.028448714226407747,0.03997667445741214,0.0314407464669241
2024-08-23,-0.00560123152177902,-0.004896923129820312,0.008870916707260168,0.014107629304901614,0.006594819041984371,0.003363451844588251,0.006864168489206033
