Dates,QQQ,SPY,TLT,GLD,EEM
2015-12-04,0.0072609570466275475,0.00028631418209590365,-0.003223939819790078,0.027358024691358063,-0.001767825574543136
2015-12-11,-0.0377800937988535,-0.03692395763763001,0.026372532758334843,-0.008748317631224745,-0.06877213695395523
2015-12-18,-0.008665041971297138,-0.009213394095502259,-0.004282482223658679,-0.010377266996411505,0.034865293185419866
2015-12-25,0.025129745971046225,0.02829717028297174,-0.011360869918039529,0.00989807918463348,0.010719754977029039
2016-01-01,-0.006483701927347041,-0.008800077790742877,-0.01026019863744565,-0.015429403202328995,-0.024545454545454648
2016-01-08,-0.07017700697300189,-0.05861578456859773,0.0230552330403051,0.04159274590971829,-0.0832556694625659
2016-01-15,-0.030477838669358714,-0.02141517298874529,0.01937418936446167,-0.015140045420136361,-0.03558115892917657
2016-01-22,0.02905593018643393,0.014429476598690316,-0.0032604373757455507,0.008839354342813133,0.03056921995783557
2016-01-29,0.003469210754553309,0.016796136888515667,0.015637466092229158,0.018571428571428683,0.042277531537674884
2016-02-05,-0.05771631614328232,-0.02978525707206281,0.01115475255302445,0.05021037868162681,-0.018318613019299934
2016-02-12,-0.0010191602119854482,-0.00702314445331198,0.02159726538222495,0.05377492877492873,-0.022992335888037396
2016-02-19,0.0368292185268313,0.02877350908214127,-0.0037262357414449276,-0.006590064210882041,0.03137789904502042
2016-02-26,0.017711305716816117,0.016093750000000018,-0.004579803068468058,-0.00399727844871578,-0.005952380952380931
2016-03-04,0.021657159431499595,0.027371982162079034,-0.01387930373437618,0.029288702928870425,0.09181636726546905
2016-03-11,0.007760007570739136,0.01162500623659124,-0.009642301710730883,-0.009374481499917153,0.009750152346130525
2016-03-18,0.008263686731148523,0.007989741566383879,0.01334798994974884,0.0032660581190855353,0.02685576342788165
2016-03-25,-0.0010244947378225122,-0.0061649867893139865,0.003719200371919973,-0.028964941569282088,-0.019688510138113458
2016-04-01,0.028901734104046284,0.0187081528160693,0.008800370541917735,0.005157740909481623,0.023681055155875264
2016-04-08,-0.01232330554548744,-0.011695341194664532,0.010177532904805497,0.012828187804669433,-0.02254758418740843
2016-04-15,0.015045871559633106,0.01603911980440098,-0.0009847738807665651,-0.004306341298657479,0.03565008987417606
2016-04-22,-0.015003615328994857,0.005727211473674165,-0.026690931149529695,-0.0002544097693351066,-0.0008678044547295594
2016-04-29,-0.029913745641402145,-0.01263339235296923,0.007946400747896432,0.048859105946221115,-0.004342790966994747
2016-05-06,-0.0013242527430950002,-0.00295642902147053,0.008270211779254799,-0.0038010513546300473,-0.045362023844140786
2016-05-13,-0.0007577192650123354,-0.004666537040637797,0.014028363357608375,-0.011933755479785813,-0.01705756929637514
2016-05-20,0.009194312796208415,0.0035651494432507036,-0.016102207438766225,-0.016432503491906947,-0.00185931205453993
2016-05-27,0.03437588052972673,0.02311548007202302,-0.0023050326546293354,-0.0341659009272407,0.027010245265445487
